sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,time
29.579426,34.098095,27.099033,0.8362467,46.374046,57.071568,29.87865,3.9456906,0.048214074,3.8843741,0.017512929,0.10040882,0.81911314,0.31073165,2026-02-28 00:45:01.884000+00:00
29.256992,33.583145,26.66781,0.8698936,44.277763,54.059055,29.75333,3.659421,0.04910953,4.2451363,0.017662508,0.10318221,0.9042422,0.012998486,2026-03-31 00:45:01.884000+00:00
28.323107,32.76511,25.266973,0.9764366,42.229107,49.43318,29.442028,3.2926185,0.0471885,4.3104143,0.018013965,0.091508135,0.74394345,-0.4310521,2026-04-30 00:45:01.884000+00:00
27.144611,31.538858,22.747446,1.1227553,38.75215,44.0404,27.12633,3.0083597,0.044608936,4.42253,0.018293008,0.07306787,0.42063624,-0.78573895,2026-05-31 00:45:01.884000+00:00
26.492815,30.766819,20.81113,1.2594721,35.009613,41.41595,25.17561,2.7640657,0.04284128,4.1834474,0.018826846,0.060744714,0.00013023615,-1.0024704,2026-06-30 00:45:01.884000+00:00
25.747576,30.449389,19.451233,1.3520287,34.128613,42.191315,26.782906,2.4287577,0.041445423,3.8638742,0.019861601,0.052286334,-0.47481543,-0.95815766,2026-07-31 00:45:01.884000+00:00
25.236376,30.692673,19.32629,1.3180994,39.559834,46.85887,31.016823,2.147838,0.039220832,3.0431879,0.020784846,0.044658173,-1.0028722,-0.57180923,2026-08-31 00:45:01.884000+00:00
25.969471,31.334276,21.53223,1.047476,49.696495,54.114407,37.07728,2.3211641,0.03660981,2.2255797,0.020067729,0.038687274,-1.1837045,0.11530515,2026-09-30 00:45:01.884000+00:00
26.91128,32.21325,23.316505,0.84807336,54.87391,59.64897,40.771896,2.649474,0.035417117,1.6640264,0.019006364,0.035225324,-1.0103073,0.70646954,2026-10-31 00:45:01.884000+00:00
27.92279,33.123295,24.730661,0.78740895,55.8441,63.06111,40.099354,2.9811354,0.035765987,1.3563244,0.018875796,0.034543604,-0.58867824,1.0330453,2026-11-30 00:45:01.884000+00:00
29.085478,34.132164,26.52716,0.7969985,53.99604,64.465485,36.258736,3.5245974,0.038068354,1.6746668,0.018188238,0.048407122,-0.07871243,0.96970534,2026-12-31 00:45:01.884000+00:00
29.881306,34.319065,27.403492,0.77638435,50.810467,61.87565,32.806915,4.151744,0.043573745,2.8623595,0.017679319,0.07423597,0.480268,0.7392625,2027-01-31 00:45:01.884000+00:00
29.935616,34.331413,27.5614,0.76486367,48.29258,59.242996,31.118681,4.148464,0.047419924,3.7022877,0.017854393,0.093593985,0.7426992,0.47590104,2027-02-28 00:45:01.884000+00:00
29.498325,33.840702,27.014347,0.83732736,45.445892,55.574356,29.855183,3.7739806,0.049075007,4.0833073,0.018061206,0.10113044,0.9557281,0.080537036,2027-03-31 00:45:01.884000+00:00
28.557907,32.986305,25.717953,0.9572949,42.49561,50.678337,29.37018,3.302238,0.04748032,3.985618,0.018098235,0.08924203,0.8785112,-0.37964925,2027-04-30 00:45:01.884000+00:00
27.230158,31.54263,22.932247,1.1240389,37.965973,43.999496,26.471655,2.9994283,0.045035534,4.0830393,0.018378822,0.069804415,0.49645308,-0.80040437,2027-05-31 00:45:01.884000+00:00
26.561365,30.68163,20.902533,1.267206,34.0269,40.678867,24.242016,2.740438,0.04353012,4.125252,0.018815778,0.058836274,0.07626616,-1.0330658,2027-06-30 00:45:01.884000+00:00
25.895885,30.309498,19.440018,1.367309,33.721836,40.947254,26.129177,2.482542,0.041459076,3.6969802,0.01962356,0.050270997,-0.37477174,-1.0059705,2027-07-31 00:45:01.884000+00:00
25.310564,30.613625,19.49787,1.3543228,38.747055,45.863438,30.756308,2.2918203,0.037990633,2.494114,0.020188529,0.040302355,-0.8974281,-0.60570717,2027-08-31 00:45:01.884000+00:00
25.952127,31.436007,21.634487,1.1260682,48.757015,52.916416,36.615685,2.4319866,0.03610479,1.9148762,0.019622488,0.03763094,-1.1053929,-0.006637265,2027-09-30 00:45:01.884000+00:00
27.170326,32.375416,23.647976,0.9153647,55.240936,59.733868,40.839527,2.7441742,0.03538606,1.6652809,0.018965334,0.03710035,-0.93785983,0.59171385,2027-10-31 00:45:01.884000+00:00
28.260057,33.258656,25.080362,0.84651315,55.95369,63.241898,40.289223,3.1285546,0.035994224,1.2942574,0.018630046,0.036865003,-0.5112475,0.9311441,2027-11-30 00:45:01.884000+00:00
29.241335,34.14782,26.685698,0.8333154,53.95609,64.02702,36.296024,3.6592538,0.038267918,1.5225977,0.017995523,0.04881295,-0.008420114,0.9072464,2027-12-31 00:45:01.884000+00:00
29.971249,34.381145,27.548618,0.8320061,50.597485,61.230297,33.112484,4.2500305,0.044382915,2.8615265,0.017426014,0.077881455,0.54360956,0.6568654,2028-01-31 00:45:01.884000+00:00
29.906378,34.298054,27.667181,0.84016263,46.719585,58.277378,30.310703,4.0982313,0.048384357,3.8843498,0.017434603,0.10068008,0.89465576,0.35425624,2028-02-29 00:45:01.884000+00:00
29.369457,33.70944,27.012218,0.9049417,43.836666,54.904854,29.379038,3.7011752,0.04924428,4.2138805,0.017621273,0.10295192,1.0131977,-0.0049012937,2028-03-31 00:45:01.884000+00:00
28.505442,33.025993,25.471956,1.0403221,40.87589,49.588238,27.896368,3.438574,0.047831982,4.2713943,0.017684743,0.09195043,0.85985875,-0.44833645,2028-04-30 00:45:01.884000+00:00
27.392452,31.564148,22.398176,1.220262,36.03916,43.241608,25.118692,3.0999444,0.045353852,4.2361293,0.01796503,0.0713946,0.4984611,-0.83590245,2028-05-31 00:45:01.884000+00:00
26.683096,30.72518,20.378435,1.3780926,32.79081,40.156063,23.589588,2.8447728,0.04343281,4.037638,0.018498586,0.05819836,0.07835953,-1.0705754,2028-06-30 00:45:01.884000+00:00
25.909616,30.331749,18.9033,1.5118539,32.4367,40.00906,25.763329,2.5449421,0.04100294,3.3275642,0.019331872,0.04705369,-0.38363373,-1.0639452,2028-07-31 00:45:01.884000+00:00
25.437403,30.808659,18.974165,1.5083594,37.193016,44.631336,29.947752,2.2883835,0.037976734,2.4943683,0.020189466,0.039090015,-0.88119805,-0.62387353,2028-08-31 00:45:01.884000+00:00
26.271225,31.885885,21.143375,1.239053,46.802704,52.853153,35.41091,2.424068,0.03624645,2.3254075,0.019716363,0.038994856,-1.0010405,0.005679954,2028-09-30 00:45:01.884000+00:00
