time,sst_anomaly_forecast,lat,lon
2019-01-31 00:10:01+00:00,0.38570327,-18.0,147.0
2019-02-28 00:10:01+00:00,0.30588865,-18.0,147.0
2019-03-31 00:10:01+00:00,0.37638754,-18.0,147.0
2019-04-30 00:10:01+00:00,0.38160825,-18.0,147.0
2019-05-31 00:10:01+00:00,0.26950663,-18.0,147.0
2019-06-30 00:10:01+00:00,0.16089758,-18.0,147.0
2019-07-31 00:10:01+00:00,0.1748668,-18.0,147.0
2019-08-31 00:10:01+00:00,0.25735515,-18.0,147.0
2019-09-30 00:10:01+00:00,0.34370914,-18.0,147.0
2019-10-31 00:10:01+00:00,0.27206597,-18.0,147.0
2019-11-30 00:10:01+00:00,0.32591087,-18.0,147.0
2019-12-31 00:10:01+00:00,0.30218685,-18.0,147.0
2020-01-31 00:10:01+00:00,0.1266712,-18.0,147.0
2020-02-29 00:10:01+00:00,-0.13018821,-18.0,147.0
2020-03-31 00:10:01+00:00,-0.059668947,-18.0,147.0
2020-04-30 00:10:01+00:00,-0.035507124,-18.0,147.0
2020-05-31 00:10:01+00:00,0.195433,-18.0,147.0
2020-06-30 00:10:01+00:00,0.30271566,-18.0,147.0
2020-07-31 00:10:01+00:00,0.42589426,-18.0,147.0
2020-08-31 00:10:01+00:00,0.5972195,-18.0,147.0
2020-09-30 00:10:01+00:00,0.72984046,-18.0,147.0
2020-10-31 00:10:01+00:00,0.8985591,-18.0,147.0
2020-11-30 00:10:01+00:00,1.0694842,-18.0,147.0
2020-12-31 00:10:01+00:00,1.1972249,-18.0,147.0
2021-01-31 00:10:01+00:00,1.2596812,-18.0,147.0
2021-02-28 00:10:01+00:00,1.312826,-18.0,147.0
2021-03-31 00:10:01+00:00,1.3095238,-18.0,147.0
2021-04-30 00:10:01+00:00,1.2781682,-18.0,147.0
2021-05-31 00:10:01+00:00,1.2275987,-18.0,147.0
2021-06-30 00:10:01+00:00,1.1624215,-18.0,147.0
2021-07-31 00:10:01+00:00,1.0910846,-18.0,147.0
2021-08-31 00:10:01+00:00,1.0289059,-18.0,147.0
2021-09-30 00:10:01+00:00,0.9579974,-18.0,147.0
2021-10-31 00:10:01+00:00,0.8821833,-18.0,147.0
2021-11-30 00:10:01+00:00,0.77994585,-18.0,147.0
2021-12-31 00:10:01+00:00,0.6677443,-18.0,147.0
2022-01-31 00:10:01+00:00,0.5353801,-18.0,147.0
2022-02-28 00:10:01+00:00,0.4174025,-18.0,147.0
2022-03-31 00:10:01+00:00,0.36844075,-18.0,147.0
2022-04-30 00:10:01+00:00,0.37113273,-18.0,147.0
2022-05-31 00:10:01+00:00,0.26886004,-18.0,147.0
2022-06-30 00:10:01+00:00,0.37268618,-18.0,147.0
2022-07-31 00:10:01+00:00,0.39903006,-18.0,147.0
2022-08-31 00:10:01+00:00,0.46564752,-18.0,147.0
2022-09-30 00:10:01+00:00,0.48687124,-18.0,147.0
2022-10-31 00:10:01+00:00,0.5031813,-18.0,147.0
2022-11-30 00:10:01+00:00,0.49089718,-18.0,147.0
2022-12-31 00:10:01+00:00,0.6122455,-18.0,147.0
2023-01-31 00:10:01+00:00,0.7814358,-18.0,147.0
2023-02-28 00:10:01+00:00,0.93317384,-18.0,147.0
2023-03-31 00:10:01+00:00,1.1232022,-18.0,147.0
2023-04-30 00:10:01+00:00,1.3670723,-18.0,147.0
2023-05-31 00:10:01+00:00,1.4035814,-18.0,147.0
2023-06-30 00:10:01+00:00,1.3141108,-18.0,147.0
2023-07-31 00:10:01+00:00,1.2095288,-18.0,147.0
2023-08-31 00:10:01+00:00,1.1316937,-18.0,147.0
2023-09-30 00:10:01+00:00,1.0988103,-18.0,147.0
2023-10-31 00:10:01+00:00,1.0968287,-18.0,147.0
2023-11-30 00:10:01+00:00,1.0892534,-18.0,147.0
2023-12-31 00:10:01+00:00,1.0135082,-18.0,147.0
2024-01-31 00:10:01+00:00,0.8729485,-18.0,147.0
2024-02-29 00:10:01+00:00,0.6950547,-18.0,147.0
2024-03-31 00:10:01+00:00,0.4812697,-18.0,147.0
2024-04-30 00:10:01+00:00,0.18620114,-18.0,147.0
2024-05-31 00:10:01+00:00,-0.18220578,-18.0,147.0
2024-06-30 00:10:01+00:00,-0.36128402,-18.0,147.0
2024-07-31 00:10:01+00:00,-0.46253237,-18.0,147.0
