sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,co2_ppm,time,month,pred_chlor_a_mean,pred_poc_mean,bleaching_risk,bio_demand,bio_supply
26.595766,30.315826,24.19298,0.81822467,55.61776,60.80342,39.50638,3.241286,0.03981316,1.28019,0.021311983,0.032155182,-0.8660254037844386,0.5000000000000001,417.43204,2027-10-31 00:45:01.884,10,0.20120218,57.39931,0,1.116959286411777,1.6399803
27.73657,31.497803,25.294647,0.7831496,56.2229,63.100243,40.504578,3.5464258,0.038418304,1.0135071,0.020191196,0.034547344,-0.5000000000000004,0.8660254037844384,413.60703,2027-11-30 00:45:01.884,11,0.1822049,53.574566,1,1.2088682338675911,1.5307019
28.905624,32.425537,26.32622,0.76932454,54.83269,63.77856,38.0271,3.7301235,0.03921097,1.7531213,0.019016162,0.043723453,-2.4492935982947064e-16,1.0,413.87775,2027-12-31 00:45:01.884,12,0.17848048,54.47488,1,1.310904328823241,1.5564251
29.09394,33.147438,26.69852,0.7501935,50.934063,61.63241,34.409348,4.036352,0.0444474,3.2638102,0.018733632,0.07970367,0.49999999999999994,0.8660254037844387,415.954,2028-01-31 00:45:01.884,1,0.25324097,60.472527,0,1.3281278205520366,1.7277864
29.270275,33.42815,26.914291,0.7220293,49.701584,59.330357,33.529102,3.7340684,0.045960564,3.6269765,0.019257007,0.08983733,0.8660254037844386,0.5000000000000001,415.9898,2028-02-29 00:45:01.884,2,0.28264698,62.8993,0,1.3444606214083281,1.7971228
29.19293,32.957306,26.80016,0.74027413,47.660736,55.149185,32.299145,3.366373,0.045454647,3.1875095,0.019616859,0.07552292,1.0,6.123233995736766e-17,414.63303,2028-03-31 00:45:01.884,3,0.27698964,63.571705,0,1.3372720572505092,1.8163344
28.371128,31.792,25.34241,0.87325466,41.03053,48.854324,29.194502,2.9436245,0.04617758,2.3630164,0.019426018,0.057442855,0.8660254037844387,-0.4999999999999998,417.0513,2028-04-30 00:45:01.884,4,0.29606414,67.90035,0,1.2632260258404857,1.9400101
26.926975,30.850252,22.412209,1.0369133,35.057137,43.9406,26.495163,2.765808,0.04583957,1.837803,0.01981586,0.04607911,0.49999999999999994,-0.8660254037844387,420.62918,2028-05-31 00:45:01.884,5,0.2906844,66.557594,0,1.142898670698966,1.9016455
25.66306,29.573198,19.992638,1.1392066,32.671326,40.539932,25.407154,2.4977915,0.04306073,1.6790838,0.020282665,0.036180444,1.2246467991473532e-16,-1.0,419.81702,2028-06-30 00:45:01.884,6,0.25928727,63.905365,0,1.0470323371632662,1.8258675
24.96257,29.45475,19.568817,1.2539176,34.13141,41.655197,27.377367,2.167632,0.04057119,1.4717456,0.020213898,0.03377109,-0.4999999999999997,-0.8660254037844388,423.0817,2028-07-31 00:45:01.884,7,0.23377536,59.45505,0,0.9974089127795706,1.6987158
