sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,co2_ppm,time,pred_chlor_a_mean,pred_poc_mean,bleaching_risk
26.926975,30.850252,22.412209,1.0369133,35.057137,43.9406,26.495163,2.765808,0.04583957,1.837803,0.01981586,0.04607911,0.5154897,-0.839566,420.62918,2028-05-31 00:45:01.884,0.29117036,66.995605,0
25.66306,29.573198,19.992638,1.1392066,32.671326,40.539932,25.407154,2.4977915,0.04306073,1.6790838,0.020282665,0.036180444,0.046917304,-0.9572583,419.81702,2028-06-30 00:45:01.884,0.25993186,63.379955,0
24.96257,29.45475,19.568817,1.2539176,34.13141,41.655197,27.377367,2.167632,0.04057119,1.4717456,0.020213898,0.03377109,-0.5018034,-0.763076,423.0817,2028-07-31 00:45:01.884,0.23253407,58.79095,0
25.153873,30.124733,20.158989,1.2091345,39.751556,47.765457,30.620977,2.156943,0.03814735,1.1455836,0.01952972,0.03170743,-0.8427747,-0.4456886,423.50354,2028-08-31 00:45:01.884,0.20676643,55.0018,0
25.591887,31.179193,21.59328,0.9750305,47.84364,53.303448,35.449196,2.4134805,0.036808472,1.759587,0.018337939,0.036605034,-0.96487594,0.043253712,419.32056,2028-09-30 00:45:01.884,0.19193408,52.970898,1
26.56018,32.24416,23.417892,0.804264,52.65861,57.89008,38.630825,2.6768343,0.036179975,1.9746796,0.018488506,0.03877673,-0.84241736,0.46457377,417.511,2028-10-31 00:45:01.884,0.19328463,51.74266,1
27.95471,32.56559,24.914072,0.77911365,54.069386,61.24314,39.59942,3.1278949,0.03625675,1.7084287,0.018695245,0.03279251,-0.46156406,0.6862593,415.4656,2028-11-30 00:45:01.884,0.19923195,51.258224,1
28.952599,33.07326,26.333036,0.801649,53.41651,62.839046,37.265553,3.5973558,0.037164286,1.359814,0.018317034,0.031455304,0.04610951,0.84237355,414.5084,2028-12-31 00:45:01.884,0.19803736,51.763096,1
29.404882,33.66246,27.022785,0.7693166,52.257553,61.782295,33.175552,4.1398487,0.040046144,1.8960118,0.017841117,0.0442045,0.54739636,0.80078864,414.7685,2029-01-31 00:45:01.884,0.20841269,55.267456,0
28.74289,33.428116,26.839724,0.818447,46.954742,58.005898,30.168213,4.0247526,0.049723256,3.812843,0.018471904,0.101309836,0.6578253,0.3244,416.33612,2029-02-28 00:45:01.884,0.35775056,72.09956,0
28.682243,33.13559,26.75585,0.7606413,47.47834,54.216045,30.809254,3.393994,0.04580847,3.1002693,0.019124942,0.07268548,0.7731071,0.07796947,411.84494,2029-03-31 00:45:01.884,0.28418615,64.615326,0
28.078646,32.472153,25.376526,0.91042113,42.128193,49.285812,29.065212,3.0902002,0.046939597,3.1924684,0.019085728,0.07340105,0.7412813,-0.3585047,416.40024,2029-04-30 00:45:01.884,0.3230743,71.10778,0
26.91686,31.113768,22.338242,1.080077,35.760597,43.586155,26.604382,2.8245087,0.0444609,3.147851,0.019085284,0.05767123,0.35377365,-0.6970861,418.0075,2029-05-31 00:45:01.884,0.2785832,66.1063,0
25.725508,29.60189,19.805525,1.2490542,32.292217,40.28759,26.110758,2.3367958,0.04172392,2.6621888,0.019835735,0.04622742,-0.19790103,-0.85737693,417.9616,2029-06-30 00:45:01.884,0.24369462,61.038326,0
25.136866,28.963402,19.26151,1.3781779,34.273907,43.15934,28.440804,2.0792367,0.04004858,1.492591,0.020379998,0.03557509,-0.62421465,-0.68012184,419.15024,2029-07-31 00:45:01.884,0.23224084,58.103115,0
25.291174,29.419195,20.0718,1.2680413,39.737473,48.617508,31.456602,2.0312428,0.03856441,1.3435689,0.020265881,0.034592267,-0.8899263,-0.4031698,420.14008,2029-08-31 00:45:01.884,0.22036998,56.82805,0
25.53901,30.223858,21.870892,0.9923305,48.33611,54.776463,35.738758,2.463893,0.037630174,2.139288,0.019561958,0.042309824,-1.0708829,0.03847406,415.17615,2029-09-30 00:45:01.884,0.19188216,53.473866,1
26.728804,31.57288,23.585611,0.8616981,53.983284,60.126884,39.718964,2.9677613,0.036683492,2.0684302,0.019114638,0.041335125,-0.94886225,0.42819983,413.50208,2029-10-31 00:45:01.884,0.19617246,51.6622,1
27.951715,32.233864,24.955921,0.8354891,54.288025,62.894436,40.695496,3.313554,0.036280338,1.4589155,0.018829104,0.033585314,-0.497137,0.73506933,411.9101,2029-11-30 00:45:01.884,0.19668053,50.99063,1
28.818188,32.73002,26.116364,0.8078309,53.19987,63.286964,37.99186,3.6929412,0.037134774,1.3419739,0.01829332,0.032548532,0.019945294,0.883696,410.99902,2029-12-31 00:45:01.884,0.1863076,51.999958,1
29.00534,33.152115,26.654888,0.7101567,51.509834,61.102432,34.901764,3.6862135,0.042081624,2.3581748,0.018751586,0.058420617,0.44187844,0.70250475,411.49426,2030-01-31 00:45:01.884,0.22664103,58.73628,0
28.902626,32.779884,26.64564,0.6402403,50.28586,57.81652,34.424137,3.3461833,0.04625624,3.0685854,0.02006038,0.080336966,0.69727683,0.39720765,410.42554,2030-02-28 00:45:01.884,0.29801193,64.37717,0
28.929195,32.11505,26.328598,0.62478375,49.499695,55.0497,34.662502,2.9336638,0.045618363,2.6390753,0.020976666,0.06747134,0.8204447,0.11668781,408.17505,2030-03-31 00:45:01.884,0.28218904,63.299973,0
28.090717,31.07974,25.219193,0.71152866,43.636074,49.63396,32.75543,2.5606072,0.045613248,2.1018023,0.021074494,0.05257509,0.8129447,-0.33888718,411.0054,2030-04-30 00:45:01.884,0.2870139,65.48609,0
26.841105,29.945148,22.778482,0.91296816,35.91088,44.858494,29.847668,2.4918332,0.045035794,1.721627,0.021176659,0.045216743,0.5285213,-0.6398051,413.78033,2030-05-31 00:45:01.884,0.27720037,66.169815,0
25.52793,28.821571,20.300179,1.0298946,33.018375,40.802284,27.08021,2.442171,0.043330938,1.8404313,0.021511659,0.040774837,0.054264195,-0.81249964,413.19894,2030-06-30 00:45:01.884,0.2604648,64.562584,0
